awardYear,category,name
1998,Physiology or Medicine,Robert F. Furchgott
2010,Physiology or Medicine,Robert G. Edwards
2005,Chemistry,Robert H. Grubbs
1961,Physics,Robert Hofstadter
1988,Chemistry,Robert Huber
2005,Economic Sciences,Robert J. Aumann
2012,Chemistry,Robert J. Lefkowitz
2013,Economic Sciences,Robert J. Shiller
1905,Physiology or Medicine,Robert Koch
1987,Economic Sciences,Robert M. Solow
1999,Economic Sciences,Robert Mundell
1966,Chemistry,Robert S. Mulliken
1972,Physics,96
1993,Economic Sciences,Robert W. Fogel
1968,Physiology or Medicine,Robert W. Holley
1978,Physics,Robert Woodrow Wilson
2003,Chemistry,Roderick MacKinnon
1972,Physiology or Medicine,Rodney R. Porter
2007,Economic Sciences,Roger B. Myerson
2006,Chemistry,Roger D. Kornberg
1977,Physiology or Medicine,Roger Guillemin
1937,Literature,Roger Martin du Gard
1981,Physiology or Medicine,Roger W. Sperry
2008,Chemistry,831
1996,Physiology or Medicine,Rolf M. Zinkernagel
1915,Literature,Romain Rolland
1967,Chemistry,234
1991,Economic Sciences,Ronald H. Coase
1902,Physiology or Medicine,294
1977,Physiology or Medicine,Rosalyn Yalow
2005,Physics,Roy J. Glauber
1908,Literature,
1961,Physics,Rudolf Mössbauer
1992,Chemistry,Rudolph A. Marcus
1907,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1907
1993,Physics,143
2001,Chemistry,Ryoji Noyori
1960,Literature,Saint-John Perse
1969,Physiology or Medicine,Salvador E. Luria
1959,Literature,630
1969,Literature,643
1976,Physics,Samuel C.C. Ting
1906,Physiology or Medicine,Santiago Ramón y Cajal
2015,Physiology or Medicine,Satoshi &#332;mura
1976,Literature,Saul Bellow
2011,Physics,Saul Perlmutter
1995,Literature,672
1974,Peace,Seán MacBride
1909,Literature,579
1952,Physiology or Medicine,353
2012,Physics,Serge Haroche
1959,Physiology or Medicine,Severo Ochoa
1979,Physics,
1994,Peace,Shimon Peres
2012,Physiology or Medicine,Shinya Yamanaka
2003,Peace,Shirin Ebadi
1966,Literature,Shmuel Agnon
2014,Physics,Shuji Nakamura
1989,Chemistry,Sidney Altman
1928,Literature,Sigrid Undset
1971,Economic Sciences,Simon Kuznets
1984,Physics,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1984
1965,Physics,84
1930,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1930
1945,Physiology or Medicine,Sir Alexander Fleming
1979,Economic Sciences,Sir Arthur Lewis
1925,Peace,Sir Austen Chamberlain
1970,Physiology or Medicine,394
1930,Physics,Sir Chandrasekhara Venkata Raman
1932,Physiology or Medicine,Sir Charles Sherrington
1956,Chemistry,Sir Cyril Hinshelwood
1960,Physiology or Medicine,Sir Frank Macfarlane Burnet
1929,Physiology or Medicine,Sir Frederick Hopkins
2018,Chemistry,Sir Gregory P. Winter
1996,Chemistry,Sir Harold Kroto
1936,Physiology or Medicine,Sir Henry Dale
1945,Physiology or Medicine,Sir Howard Florey
2016,Chemistry,Sir J. Fraser Stoddart
1988,Physiology or Medicine,Sir James W. Black
2012,Physiology or Medicine,Sir John B. Gurdon
1963,Physiology or Medicine,Sir John Eccles
2007,Physiology or Medicine,Sir Martin J. Evans
1977,Physics,Sir Nevill F. Mott
1933,Peace,Sir Norman Angell
2001,Physiology or Medicine,Sir Paul Nurse
2019,Physiology or Medicine,Sir Peter J. Ratcliffe
2003,Physiology or Medicine,Sir Peter Mansfield
1947,Chemistry,207
1904,Chemistry,163
1972,Chemistry,Stanford Moore
1997,Physiology or Medicine,Stanley B. Prusiner
1986,Physiology or Medicine,Stanley Cohen
2014,Chemistry,Stefan W. Hell
1997,Physics,Steven Chu
1979,Physics,
1983,Physics,Subramanyan Chandrasekhar
1901,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1901
1982,Physiology or Medicine,Sune K. Bergström
1987,Physiology or Medicine,Susumu Tonegawa
1903,Chemistry,Svante Arrhenius
2015,Literature,924
2002,Physiology or Medicine,Sydney Brenner
1948,Literature,619
1950,Physiology or Medicine,350
2015,Physics,919
2018,Physiology or Medicine,Tasuku Honjo
2011,Peace,Tawakkol Karman
1989,Peace,The 14th Dalai Lama 
1926,Chemistry,The Svedberg
1909,Physiology or Medicine,303
1902,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1902
2005,Physics,793
1906,Peace,470
1914,Chemistry,Theodore W. Richards
1979,Economic Sciences,Theodore W. Schultz
2009,Chemistry,Thomas A. Steitz
2005,Economic Sciences,Thomas C. Schelling
2013,Physiology or Medicine,886
1933,Physiology or Medicine,Thomas H. Morgan
1954,Physiology or Medicine,Thomas H. Weller
2011,Economic Sciences,Thomas J. Sargent
1929,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1929
1989,Chemistry,Thomas R. Cech
2001,Physiology or Medicine,Tim Hunt
1975,Economic Sciences,Tjalling C. Koopmans
1911,Peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911
2015,Chemistry,Tomas Lindahl
2011,Literature,
1993,Literature,670
1981,Physiology or Medicine,Torsten N. Wiesel
2008,Physics,Toshihide Maskawa
1989,Economic Sciences,Trygve Haavelmo
1957,Physics,Tsung-Dao Lee
2015,Physiology or Medicine,Tu Youyou
1970,Physiology or Medicine,395
2001,Peace,United Nations
1965,Peace,United Nations Children's Fund
1988,Peace,United Nations Peacekeeping Forces
2001,Literature,V. S. Naipaul
1980,Physics,Val Fitch
2009,Chemistry,Venkatraman Ramakrishnan
1916,Literature,Verner von Heidenstam
2002,Economic Sciences,760
1977,Literature,653
1936,Physics,Victor F. Hess
1912,Chemistry,172
1955,Chemistry,218
2003,Physics,Vitaly L. Ginzburg
1975,Chemistry,Vladimir Prelog
1980,Chemistry,Walter Gilbert
1956,Physics,Walter H. Brattain
1949,Physiology or Medicine,Walter Hess
1998,Chemistry,Walter Kohn
1954,Physics,Walther Bothe
1920,Chemistry,Walther Nernst
2004,Peace,783
1973,Economic Sciences,Wassily Leontief
1946,Chemistry,Wendell M. Stanley
1978,Physiology or Medicine,Werner Arber
1956,Physiology or Medicine,Werner Forssmann
1932,Physics,
1901,Physics,Wilhelm Conrad Röntgen
1909,Chemistry,Wilhelm Ostwald
1911,Physics,Wilhelm Wien
1960,Chemistry,
2009,Physics,Willard S. Boyle
1924,Physiology or Medicine,Willem Einthoven
1983,Physics,William A. Fowler
1956,Physics,William B. Shockley
1915,Physics,William Bragg
1923,Literature,593
2015,Physiology or Medicine,William C. Campbell
2018,Economic Sciences,William D. Nordhaus
1997,Physics,William D. Phillips
2014,Chemistry,William E. Moerner
1949,Chemistry,209
1990,Economic Sciences,William F. Sharpe
1949,Literature,William Faulkner
2019,Physiology or Medicine,William G. Kaelin Jr
1983,Literature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1983
1972,Chemistry,William H. Stein
2001,Chemistry,William Knowles
1976,Chemistry,William Lipscomb
1934,Physiology or Medicine,William P. Murphy
1996,Economic Sciences,William Vickrey
1955,Physics,Willis E. Lamb
1971,Peace,Willy Brandt
1953,Literature,Winston Churchill
1996,Literature,Wislawa Szymborska
1924,Literature,594
1986,Literature,Wole Soyinka
2001,Physics,739
1989,Physics,Wolfgang Paul
1945,Physics,50
1919,Peace,Woodrow Wilson
1994,Peace,Yasser Arafat
1968,Literature,642
1994,Peace,Yitzhak Rabin
2008,Physics,Yoichiro Nambu
2016,Physiology or Medicine,Yoshinori Ohsumi
1986,Chemistry,Yuan T. Lee
2005,Chemistry,Yves Chauvin
2000,Physics,Zhores Alferov
1980,Chemistry,Frederick Sanger
1944,Peace,International Committee of the Red Cross
1972,Physics,66
1954,Chemistry,Linus Pauling
1911,Chemistry,6
1981,Peace,Office of the United Nations High Commissioner for Refugees
1963,Peace,International Committee of the Red Cross
